node,x,y,latitude,longitude
6138071,444092,4400300.5,39.7507806,-123.652601
6157285,446742,4400296.5,39.7509143,-123.621669
6186592,447062,4400289.5,39.7508712,-123.617934
6197363,445410,4400286.5,39.7507399,-123.637216
6204683,444448,4400284.5,39.7506597,-123.648444
6210503,446127,4400283.5,39.7507585,-123.628847
6233006,443784,4400277.5,39.7505531,-123.656194
6235898,446676,4400277.5,39.750739,-123.622438
6262363,444154,4400270.5,39.7505144,-123.651874
6263064,444855,4400270.5,39.75056,-123.643692
6287304,444249,4400264.5,39.7504665,-123.650765
6308364,444604,4400259.5,39.7504446,-123.646621
6311493,443592,4400258.5,39.7503692,-123.658433
6339554,446807,4400252.5,39.750522,-123.620907
6362365,444772,4400246.5,39.7503384,-123.644659
6393924,443203,4400238.5,39.7501632,-123.662972
6405414,446411,4400236.5,39.750353,-123.625528
6416131,444705,4400233.5,39.7502169,-123.64544
6423284,443576,4400231.5,39.7501249,-123.658617
6428052,444203,4400230.5,39.7501572,-123.651299
6432699,444709,4400229.5,39.7501812,-123.645393
6436673,444542,4400228.5,39.7501613,-123.647342
6474016,444616,4400219.5,39.750085,-123.646478
6522166,443074,4400207.5,39.7498753,-123.664475
6523860,444768,4400207.5,39.7499868,-123.644702
6529988,446755,4400206.5,39.7501043,-123.62151
6533793,446419,4400205.5,39.7500742,-123.625432
6540120,444464,4400203.5,39.749931,-123.64825
6581054,443988,4400193.5,39.7498097,-123.653805
6592203,446855,4400191.5,39.7499754,-123.620342
6605484,443572,4400187.5,39.7497282,-123.65866
6713158,443580,4400161.5,39.7494945,-123.658565
6783037,443062,4400144.5,39.7493069,-123.664609
6809023,444202,4400138.5,39.7493282,-123.651303
6898616,446834,4400117.5,39.7493073,-123.620581
6912682,444336,4400113.5,39.7491118,-123.649737
6998048,446882,4400093.5,39.7490941,-123.620019
7032386,443951,4400084.5,39.7488252,-123.654228
7071996,446292,4400075.5,39.7488949,-123.626904
7087031,444763,4400071.5,39.7487611,-123.644749
7102042,443210,4400067.5,39.748623,-123.662875
7134156,446337,4400060.5,39.7487626,-123.626377
7193009,443075,4400045.5,39.7484158,-123.664449
7202618,444402,4400043.5,39.7484854,-123.648961
7209470,447113,4400042.5,39.748649,-123.617318
7218702,443922,4400039.5,39.7484179,-123.654563
7219048,444268,4400039.5,39.7484406,-123.650524
7220881,446101,4400039.5,39.7485585,-123.62913
7220917,446137,4400039.5,39.7485608,-123.62871
7233697,446494,4400036.5,39.7485563,-123.624543
7238090,446746,4400035.5,39.748563,-123.621601
7255268,443219,4400030.5,39.7482902,-123.662767
7262669,446479,4400029.5,39.7484923,-123.624717
7300831,443231,4400019.5,39.7481919,-123.662626
7326246,443800,4400013.5,39.7481756,-123.655984
7434689,444577,4399987.5,39.7479923,-123.646913
7455318,444501,4399982.5,39.7479423,-123.6478
7463691,444592,4399980.5,39.7479302,-123.646738
7469570,446330,4399979.5,39.7480324,-123.626452
7472122,444741,4399978.5,39.7479218,-123.644998
7577549,446643,4399953.5,39.7478178,-123.622797
7650040,444596,4399935.5,39.747525,-123.646687
7655582,445997,4399934.5,39.7476059,-123.630335
7680389,445958,4399928.5,39.7475494,-123.63079
7731855,443591,4399915.5,39.7472789,-123.658415
7735213,446949,4399915.5,39.7474945,-123.619222
7744617,443930,4399912.5,39.7472742,-123.654458
7753258,444289,4399910.5,39.7472797,-123.650268
7761490,444239,4399908.5,39.7472584,-123.650852
7781057,443101,4399903.5,39.7471382,-123.664133
7783846,445890,4399903.5,39.7473198,-123.631582
7808834,446032,4399897.5,39.7472748,-123.629924
7831830,444182,4399891.5,39.7471015,-123.651515
7855746,443252,4399885.5,39.7469861,-123.662369
7871790,446873,4399882.5,39.7471925,-123.620107
7880688,443348,4399879.5,39.7469384,-123.661248
7906884,444698,4399873.5,39.746973,-123.645491
7953709,445972,4399862.5,39.7469556,-123.630621
7978355,445772,4399856.5,39.7468889,-123.632955
7981353,444629,4399855.5,39.7468064,-123.646295
8019961,445968,4399846.5,39.7468112,-123.630666
8042197,443358,4399840.5,39.7465877,-123.661128
8047457,444477,4399839.5,39.7466523,-123.648068
8058839,443436,4399836.5,39.7465568,-123.660218
8076557,444590,4399832.5,39.7465966,-123.646748
8082028,445920,4399831.5,39.746673,-123.631225
8090388,445998,4399829.5,39.74666,-123.630315
8105369,444415,4399825.5,39.7465221,-123.64879
8125293,443634,4399820.5,39.7464258,-123.657905
8136903,446962,4399818.5,39.7466214,-123.619063
8182339,446847,4399807.5,39.7465151,-123.620404
8211192,446713,4399800.5,39.7464437,-123.621968
